aX,aY,aZ,gX,gY,gZ
-0.022,-0.029,0.868,-0.549,11.719,0.305
-0.037,0.003,0.850,0.061,9.888,2.075
-0.050,0.011,0.867,-1.038,6.592,3.113
-0.058,0.019,0.874,-4.089,4.517,3.784
-0.065,0.013,0.875,-6.958,2.747,4.211
-0.064,-0.001,0.917,-8.301,0.977,4.395
-0.069,0.005,0.956,-8.728,-0.183,4.150
-0.072,0.023,0.968,-7.629,-0.061,4.578
-0.064,0.018,0.949,-5.737,2.136,4.639
-0.055,0.011,0.909,-3.418,4.456,5.493
-0.058,0.032,0.898,-0.610,3.479,6.836
-0.057,0.020,0.909,1.953,2.075,7.385
-0.056,0.001,0.930,6.042,0.854,8.362
-0.058,0.003,0.933,10.010,0.427,9.766
-0.065,-0.007,0.942,13.245,0.916,10.742
-0.769,1.483,0.744,74.341,-35.950,3.296
-0.932,1.688,1.010,78.308,-37.720,-10.071
-1.023,1.707,1.275,89.050,-32.166,-29.541
-1.048,1.642,1.476,103.210,-19.714,-51.758
-1.042,1.509,1.431,119.812,0.427,-72.693
-1.016,1.208,1.308,134.460,18.677,-92.224
-0.912,0.783,1.231,136.292,25.635,-109.802
-0.749,0.417,2.497,162.415,6.531,-120.605
-0.612,-0.244,1.936,219.238,26.550,-128.357
-0.373,-0.039,1.547,130.310,67.871,-123.108
-0.099,-0.352,1.885,100.159,46.265,-135.925
-0.039,-0.747,2.056,95.947,31.494,-145.935
0.065,-0.807,2.578,25.696,24.475,-151.123
0.196,-0.909,2.375,-30.823,53.650,-150.146
0.302,-1.149,2.336,-66.528,70.740,-151.489
0.404,-1.462,1.950,-63.416,70.496,-147.217
0.607,-1.629,2.156,-46.326,58.655,-132.019
0.578,-1.786,2.778,-34.119,81.909,-109.680
0.500,-1.661,1.628,-32.349,138.062,-81.055
0.488,-1.603,1.832,-3.601,117.493,-65.430
0.453,-1.705,2.207,10.071,100.098,-55.481
0.391,-1.760,1.955,-26.245,110.352,-45.532
0.372,-1.880,1.852,-72.388,112.732,-39.368
0.346,-1.993,1.702,-106.140,115.112,-31.494
0.306,-2.011,1.436,-120.361,123.291,-17.761
0.287,-1.952,1.158,-114.014,130.554,-1.221
0.249,-1.858,0.959,-103.088,132.996,15.625
0.172,-1.712,0.930,-98.328,130.432,31.921
0.105,-1.590,0.869,-94.116,129.333,45.593
0.070,-1.518,0.762,-89.050,131.836,57.495
0.037,-1.423,0.723,-85.266,132.751,68.787
0.000,-1.296,0.580,-81.482,135.864,79.590
-0.027,-1.199,0.440,-77.393,138.245,88.989
-0.060,-1.083,0.335,-74.341,137.024,97.412
-0.088,-0.958,0.213,-68.115,135.376,105.774
-0.125,-0.831,0.110,-59.570,131.592,113.892
-0.159,-0.721,-0.003,-53.040,125.671,121.826
-0.184,-0.654,-0.097,-52.612,117.065,128.540
-0.198,-0.627,-0.059,-52.979,106.323,134.827
-0.218,-0.603,-0.097,-41.077,101.379,141.479
-0.250,-0.523,-0.198,-27.527,99.060,149.170
-0.275,-0.441,-0.332,-14.832,94.666,155.762
-0.281,-0.396,-0.397,-4.272,85.754,160.950
