aX,aY,aZ,gX,gY,gZ
0.125,-0.274,0.867,10.315,0.854,4.944
0.136,-0.296,0.892,9.277,-1.221,3.479
0.145,-0.311,0.905,6.836,-3.052,1.953
0.156,-0.325,0.920,4.944,-4.639,0.549
0.158,-0.339,0.940,4.211,-5.798,0.244
0.150,-0.341,0.953,3.601,-5.981,0.427
0.140,-0.331,0.966,3.418,-5.493,0.549
0.122,-0.322,0.968,3.967,-4.639,0.427
0.120,-0.337,0.970,4.700,-3.296,-0.671
0.131,-0.359,0.973,5.066,-2.075,-1.831
0.135,-0.371,0.967,4.028,-1.343,-2.319
0.139,-0.379,0.950,1.587,-0.977,-2.563
0.154,-0.397,0.934,-1.282,-0.977,-2.991
0.163,-0.404,0.924,-3.540,-1.282,-2.441
0.161,-0.403,0.912,-5.127,-0.916,-0.916
0.155,-0.389,0.901,-5.676,0.427,0.793
0.149,-0.382,0.890,-4.822,1.526,1.831
0.144,-0.369,0.882,-3.723,2.075,2.136
0.135,-0.358,0.873,-2.136,1.953,1.953
0.128,-0.359,0.877,0.061,0.916,1.343
0.127,-0.371,0.893,2.014,0.366,0.488
0.124,-0.380,0.907,2.991,0.732,0.549
0.121,-0.383,0.909,3.357,2.075,1.038
0.125,-0.374,0.906,3.784,3.784,1.770
0.117,-0.362,0.899,3.967,5.493,3.052
0.114,-0.351,0.891,3.967,6.287,3.784
0.110,-0.345,0.876,3.479,6.165,3.296
0.111,-0.343,0.868,2.563,5.615,2.502
0.115,-0.338,0.864,1.099,4.089,0.977
0.127,-0.344,0.853,-0.549,1.892,-0.793
0.143,-0.347,0.848,-1.099,-0.732,-2.014
0.807,0.255,1.630,34.180,-30.396,0.305
0.997,0.433,1.895,40.405,-39.551,-0.244
1.204,0.624,2.169,46.021,-48.950,-0.732
1.424,0.859,2.423,51.270,-54.443,1.587
1.636,1.065,2.603,56.763,-52.490,9.216
1.790,1.209,2.630,58.411,-40.649,25.208
1.865,1.333,2.476,53.711,-21.057,46.631
1.860,1.496,2.243,42.175,-2.686,68.909
1.748,1.725,2.028,20.264,2.991,88.928
1.517,1.992,1.859,-12.390,-7.507,104.675
1.094,2.226,1.667,-57.617,-25.757,116.394
0.496,2.490,1.389,-112.549,-43.640,120.911
-0.231,2.743,1.024,-166.748,-62.744,109.558
-1.026,2.877,0.546,-207.703,-85.327,76.294
-1.866,2.907,-0.006,-220.154,-110.657,20.020
-2.654,2.509,-0.548,-190.063,-138.550,-66.223
-3.393,1.425,-0.772,-117.310,-171.936,-174.011
-3.519,-0.415,-0.899,-17.029,-179.199,-267.822
-3.614,-2.455,-0.778,90.942,-170.898,-325.195
-3.359,-3.999,-0.597,177.368,-121.704,-340.820
-3.030,-4.000,-0.361,232.178,-47.302,-339.661
-2.682,-4.000,0.114,243.286,-5.005,-335.693
-1.642,-4.000,1.064,236.084,-2.136,-346.313
-0.007,-4.000,1.856,199.219,34.119,-321.594
1.536,-4.000,1.333,128.113,173.889,-203.979
2.217,-4.000,0.060,81.665,355.774,-12.085
1.764,-4.000,-1.373,64.148,454.346,202.087
0.580,-3.003,-2.193,33.997,387.878,350.281
-0.613,-2.185,-2.164,-8.362,181.030,367.004
-1.438,-1.960,-1.417,-43.457,-54.016,297.485
-1.990,-1.859,-0.614,-82.825,-215.759,227.295
-2.287,-1.733,-0.030,-108.643,-268.127,192.383
-2.286,-1.703,0.292,-97.412,-229.797,178.040
-2.245,-1.578,0.339,-69.885,-152.405,181.458
-2.159,-1.293,0.246,-46.082,-81.909,193.970
-2.026,-0.960,0.134,-32.898,-40.283,195.251
-1.851,-0.650,0.070,-27.588,-28.992,179.504
-1.655,-0.430,0.108,-24.536,-39.307,150.757
-1.445,-0.250,0.229,-21.057,-55.420,118.530
-1.189,-0.031,0.408,-16.113,-63.477,90.088
-0.932,0.244,0.558,-9.460,-59.753,68.115
-0.648,0.551,0.748,0.793,-46.509,51.086
-0.381,0.796,0.922,11.169,-25.757,37.109
-0.138,0.927,1.038,19.531,-2.686,27.832
0.006,0.986,1.078,27.649,19.592,23.682
0.069,0.987,1.073,33.203,40.039,20.813
0.159,1.004,1.103,36.011,53.345,13.794
0.343,1.076,1.189,36.072,57.434,0.549
